"(Sedan) Sesin, Seslenişin.",
"0,030 litre.",
"11.yy.da Danişmendliler'in merkezi olan, Orta Karadeniz Bölgesinde bir ilçe.",
"12. ve 13yy.da, başka ses ve müzikle karıştırılmış olarak söylenen dini ses müziği.",
12.yy Güney İtalya halkı tarafından söylenen kısa dans şarkısına verilen genel ad.,
13.yy.da Assam'ın büyük bölümüne sahip olan kabile.,
"1339 1528 yıllarında siyasette etkili olmuş, Cenova'lı aile.",
"14.yy.da Fransa’da kullanılmaya başlanan, taşınabilir ateşli silah.",
"14.yy.da kullanılan ince, uzun çoğu kez üç köşeli hançer.",
14.yy.da Orta Anadolu’da kurulmuş Türk beyliği.,
1418'de Halepte derisi yüzülerek öldürülmüş ünlü tasavvuf ozanı.,
"15.yy.da doğan, klasik Japon şiiri nazım şekillerinden.",
"15.yy.da doğan, klasik Japon şiiri nazım şekillerinden biri.",
15.yy.dan önce İtalya’da başlayan sonra Avrupa’ya yayılan sanat ve bilim.,
1506 1543 yıllarında Etiyopya'yı egemenliği altına almış bir hareketin önderi.,
"16.yüzyılda Fransa'da kurulmuş, koyu Katolik inançlarını sürdüren Hıristiyan tarikatı.",
1698'de ilk buhar makinesini içat eden mucit.,
17.yy. Kadar Akdeniz'de kullanılan bir tür ticaret gemisi.,
18. Sülaleden Mısır Firavunu ve tek tanrıcı Aton dininin kurucusu.,
18. Yüzyılda ortaya çıkan süslemeci sanat akımı.,
"18.yy başında Fransa’da çok geçerli olan, kavisli çizgileri bol, gösterişli bezeme üslubu.",
"18.yy da ortaya çıkan, çiftlerin toplu halde gösterişli ve kıvrak hareketlerle yaptıkları dans.",
"18.yy.da ortaya çıkan, çiftlerin toplu halde gösterişli ve kıvrak hareketlerle yaptıkları dans.",
1822'de Londra'da kurulan Kraliyet Müzik Akademisi'nin simgesi.,
"1840 1905, Optik kuramına yenilikler getirmiş Alman fizikçi.",
1840 yılında basılmış 20 kuruş değerinde gümüş sikke.,
1853'te ilk kez Jean pantolonu üreten kişi.,
1854 yılında İstanbul'da açılan ilk yabancı ajans bürosu.,
"1862 1920, sosyolojik ve tarihsel romanlarıyla tanınan, Miranda'da çay, Temmuz güneşi gibi eserleri bulunan Fransız yazar.",
"1868'de ilk daktiloyu icat eden, bir gazetenin yazı işleri müdürü olan, mucit.",
1873 1877 tarihleri arasında İstanbul'da yayımlanan bir mizah dergisi.,
1878 II.Abdülhamit'i tahtan indirmek için 500 kişiyle Çırağan Sarayına saldıran ve bu sürede öldürülen gazeteci.,
1878'de elektrik ampülünü icad eden mucit.,
1881'de Çarlık Rusya'sında kurulan gizli ve siyasi örgüt.,
"1885'te havagazı lambasını ivat eden, Avusturya'lı kimyacı.",
1888 tarihinden başlayarak Osmanlıda kullanılan bir top.,
19.yy.da İstanbul tiyatrolarında ortaya çıkan eğlendirici şarkı.,
"19.yy.da ortaya çıkan, doğaçlama izlenimi verecek biçimde bestelenen piyano eseri.",
19.yy.da saz şairlenin seyrek kullandıkları bir şiir biçimi.,
1905'te Çarlık Rusya'sına karşı ayaklanan ünlü zırhlı.,
1909'da Kuzey kutbunu keşfeden Amerikalı kaşif.,
1915 TED bir Alman denizaltçılısı tarafından batırılan ve ABD nine 1. Dünya savaşına girmesine neden olan yolcu gemisi.,
1917 yılından beri her yıl özellikle gazetecilik ve çeşitli sanat dallarında dağıtılan ''Pulitzer'' ödüllerinin kurucusu ABD'li gazeteci.,
1917 yılından bu yana ABD'de her yıl özellikle gazetecilik ve çeşitli sanat dallarında verilen ödül.,
"1922 1977 yılları arasında yayınlanmış, haftalık siyasal mizah dergisi.",
